v_id,v_title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
aQOUSJOVHp8,2019-02-15T03:30:34Z Learn Chinese for Beginners: 30 Basic Chinese Lessons in 3 Hours | SUPER EASY Chinese Course,780961,17989,361,0,1253
GueNYIGjxeY,2019-01-13T16:17:02Z 跟南非人一起学习中文 How I learn Chinese vocabulary 📚 #StudyWithMe,246200,8373,119,0,612
6LwFNTvzUvI,2019-03-11T13:13:26Z study with me | how i study mandarin chinese,1092,54,2,0,3
sZzIiiUIwog,2019-06-18T09:30:02Z Learn Chinese in 5 Hours - ALL the Chinese Basics You Need,35240,984,21,0,56
rcpzLDpQx5k,2019-06-14T12:06:14Z 🇨🇳같이 중국어 공부해요🇨🇳! 외국어 고등학교의 중간고사,46559,2157,8,0,297
EuAwQHDEYcg,2019-01-06T17:31:05Z What the Top 0.01% Chinese Students Do In A Day,57629,1345,59,0,165
HQQgWihiIoM,2019-03-16T19:46:59Z how i study chinese | 我怎么学中文,1916,122,0,0,51
E2sIShCvYfs,2019-05-14T12:00:03Z Day in The Life of a Mandarin Language Student in China,215860,7436,83,0,961
Y0IkXqdQu-E,2019-01-27T02:48:39Z How I study Chinese everyday | How to study Chinese for beginners,1369,30,0,0,14
S1JvEC-IJhk,2019-03-01T22:51:31Z My Easy Chinese Study Routine | How To Learn Chinese!,2991,242,3,0,39
rZ9W-ip2FE8,2019-03-18T22:00:07Z 12 HOURS OF STUDYING? Chinese Student Study Tips | 考试小贴士,8279,419,4,0,42
gFGKDznsHC4,2019-05-15T08:06:24Z How To Study Chinese ㅣ Drama&amp;Movie Recommendation,1089,,,0,22
xQvY5Bz9fAM,2019-05-23T02:00:02Z HOW I LEARNED CHINESE,248182,11897,120,0,2104
Ws0wZEfDUek,2019-02-10T19:31:07Z 怎么不学习中文 (How NOT to Study Chinese) // 肖珂萝,936,42,0,0,29
8JzY7n6xPew,2019-01-27T20:07:53Z study with me: chinese,3093,129,1,0,5
